trade_date,underlying,contract_month,underlying_price,gamma_regime,call_wall,put_wall,price_wall,gex_flip,call_wall_distance,put_wall_distance,price_wall_distance,gamma_flip_distance,nearest_wall,nearest_wall_value,nearest_wall_distance,spot_position_band,upside_room_to_call_wall,downside_room_to_put_wall,spot_position_comment
2026-08-26,上证50ETF华夏,12月,3.013,Positive Gamma,3.0,2.7,3.0,3.0,-0.004314636574842323,-0.10388317291735805,-0.004314636574842323,-0.004314636574842323,call_wall,3.0,-0.004314636574842323,above_all_key_levels_last_price_wall,-0.004314636574842323,-0.10388317291735805,现价距离最近关键位 call_wall 约 -0.43%，该关键位在现价下方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,上证50ETF华夏,3月,3.013,Positive Gamma,3.1,2.8,3.1,3.1,0.028874875539329548,-0.07069366080318618,0.028874875539329548,0.028874875539329548,call_wall,3.1,0.028874875539329548,between_put_wall_and_call_wall,0.028874875539329548,-0.07069366080318618,现价距离最近关键位 call_wall 约 2.89%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,上证50ETF华夏,8月,3.013,Negative Gamma,3.1,3.0,3.1,,0.028874875539329548,-0.004314636574842323,0.028874875539329548,,put_wall,3.0,-0.004314636574842323,between_put_wall_and_call_wall,0.028874875539329548,-0.004314636574842323,现价距离最近关键位 put_wall 约 -0.43%，该关键位在现价下方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Negative Gamma，若脱离关键位，波动放大风险更高。
2026-08-26,上证50ETF华夏,9月,3.013,Positive Gamma,3.0,3.0,3.0,3.1,-0.004314636574842323,-0.004314636574842323,-0.004314636574842323,0.028874875539329548,call_wall,3.0,-0.004314636574842323,between_put_wall_and_gex_flip,-0.004314636574842323,-0.004314636574842323,现价距离最近关键位 call_wall 约 -0.43%，该关键位在现价下方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,中证500ETF南方,12月,7.789,Positive Gamma,8.0,7.25,8.0,8.25,0.027089485171395644,-0.06920015406342273,0.027089485171395644,0.05918603158300173,call_wall,8.0,0.027089485171395644,between_put_wall_and_call_wall,0.027089485171395644,-0.06920015406342273,现价距离最近关键位 call_wall 约 2.71%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,中证500ETF南方,3月,7.789,Positive Gamma,8.0,7.75,7.75,6.75,0.027089485171395644,-0.005007061240210553,-0.005007061240210553,-0.133393246886635,put_wall,7.75,-0.005007061240210553,between_put_wall_and_call_wall,0.027089485171395644,-0.005007061240210553,现价距离最近关键位 put_wall 约 -0.50%，该关键位在现价下方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,中证500ETF南方,8月,7.789,Negative Gamma,7.859,7.75,8.0,7.613,0.008987032995249722,-0.005007061240210553,0.027089485171395644,-0.02259596867377056,put_wall,7.75,-0.005007061240210553,between_put_wall_and_call_wall,0.008987032995249722,-0.005007061240210553,现价距离最近关键位 put_wall 约 -0.50%，该关键位在现价下方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Negative Gamma，若脱离关键位，波动放大风险更高。
2026-08-26,中证500ETF南方,9月,7.789,Positive Gamma,8.0,7.75,7.75,8.25,0.027089485171395644,-0.005007061240210553,-0.005007061240210553,0.05918603158300173,put_wall,7.75,-0.005007061240210553,between_put_wall_and_call_wall,0.027089485171395644,-0.005007061240210553,现价距离最近关键位 put_wall 约 -0.50%，该关键位在现价下方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,中证500ETF嘉实,12月,3.162,Positive Gamma,3.1,2.85,3.2,3.1,-0.019607843137254832,-0.09867172675521818,0.012017710309930596,-0.019607843137254832,price_wall,3.2,0.012017710309930596,between_gex_flip_and_price_wall,-0.019607843137254832,-0.09867172675521818,现价距离最近关键位 price_wall 约 1.20%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,中证500ETF嘉实,3月,3.162,Positive Gamma,3.1,2.85,3.1,3.1,-0.019607843137254832,-0.09867172675521818,-0.019607843137254832,-0.019607843137254832,call_wall,3.1,-0.019607843137254832,above_all_key_levels_last_price_wall,-0.019607843137254832,-0.09867172675521818,现价距离最近关键位 call_wall 约 -1.96%，该关键位在现价下方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
